"storage_C:\_GB";"storage_C:\_%";"cpu_Intel(R)-Xeon(R)-CPU-E5-2690-v3-@-2.60GHz_%";"ram_DDR4_%";"ram_DDR4_GB";"storage_D:\_%";"storage_D:\_GB";"storage_H:\_%";"storage_E:\_%";"storage_E:\_GB";"storage_G:\_%";"storage_G:\_GB"
446.4957084655762;63.0;9.9;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;3.2;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;4.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;1.7;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;1.1;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;1.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;4.8;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.7;33.6;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.5;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;1.5;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;1.7;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;5.0;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;36.0;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;12.7;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;6.5;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;14.2;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;12.9;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;5.7;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.4;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.9;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;4.5;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;4.0;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;4.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;1.9;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.1;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;3.4;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;3.1;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;6.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.5;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;3.1;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;46.7;33.4;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.4;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;4.7;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;9.9;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;55.7;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;9.1;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;8.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;11.1;33.6;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;13.8;33.6;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;7.4;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;2.5;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;19.4;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;44.9;33.6;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;15.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.0;5.8;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;4.6;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;4.2;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;11.3;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;2.1;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;6.8;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;18.0;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;30.6;33.6;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;9.0;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
446.4957084655762;63.1;4.7;33.5;47.904605865478516;16.3;931.5107383728027;85.3;88.4;1023.9980430603027;79.1;57.6339111328125
